Year,Institution number,Institution Name,Institution type,Region,Member year,Canadian dollar exchange rate,Rank in ARL investment index,ARL investment index value,Rank in ARL membership index,ARL membership index value,Volumes held,"Volumes added, gross","Volumes added, net",Volumes withdrawn,Monographs purchased,Current serials purchased,Current serials not purchased,Total current serials,Microforms,Government documents,Manuscripts and archives,Cartographic materials,Graphic materials,Sound recordings,Video and film,Computer files,Total interlibrary lending,Total interlibrary borrowing,Group presentations,Presentation participants,Reference queries,Initial circulation,Total circulation,Reserve circulation,Annual gate count,Professional staff,Support staff,Student assistants,Total prof. + support staff,Total prof. + support + student staff,Expenditures for monographs,Expenditures for serials,Expenditures for other materials,Misc. materials expenditures,Total materials expenditures,Expenditures for binding,Professional salaries & wages,Support staff salaries & wages,Student assistant wages,Total salaries & wages,Other operating expenditures,Total library expenditures,Total fulltime students,"Part-time students, undergraduate and graduate",Total fulltime graduate students,Part-time graduate students,Doctor's degrees awarded,Doctor's degree fields,Total teaching faculty,Expenditures for computer files,Expenditures for electronic serials,Total electronic resources expenditures,"Library expenditures for bibliographic utilities, networks, etc.","External expenditures for bibliographic utilities, networks, etc.",Expenditures for computer hardware and software,Expenditures for document delivery and interlibrary loans,Staffed service points,Library service hours,Titles held,Total university expenditures,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe benefits, dollar amount","Fringe benefits, official designated percent",Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases)
2015,0,MEDIAN,.,.,.,.,.,.,.,.,4655092,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28067,22090.5,883.5,17847.5,34144,142853,.,.,1791810,84,92,43.5,167,215,.,.,.,.,12113532,.,5842856.5,3628107,661611.5,10016953,2629263,24654357,24580,4068,5770,2101,635,63,1533,.,.,.,.,246687.5,.,.,.,.,3552625,1669213953,967256,1988315.02,8996141,390133,3127266.5,30.1,2747149.5,4978589,240850
2015,100,ALABAMA,State,East South Central,1967,1,78,-0.524832754,.,.,4718369,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16807,10675,931,18915,55207,95483,.,.,1802950,83,61,41,144,185,.,.,.,.,11404167,.,5282333,1950556,546796,7779685,1649797,20833649,31128,5027,2861,2009,329,49,1287,.,.,.,.,37966,.,.,.,.,3911962,930367041,1442504,2514000,8244110,646057,2121195,32,2675558,70379431,0
2015,200,ALBERTA,Canadian,Canada,1969,1.1739,27,0.336149071,.,.,8727144,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34487,16185,593,18674,118693,233413,.,.,3215669,71,111,24,182,206,.,.,.,.,18339089.36,.,6335419.54,5785255.13,611972.06,12732646.73,3850632.93,34922369.03,35052,3629,6004,1568,469,.,1618,.,.,.,.,.,.,.,.,.,4751313,.,1316521,3639293.81,13423706.45,1276089.1,2831947.35,.,.,.,745009300
2015,300,ARIZONA,State,Mountain,1967,1,37,0.050883276,.,.,7134363,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44638,32513,770,9702,11809,287375,.,.,2799969,79,97,38,176,214,.,.,.,.,14572499,.,5547569,4515771,764376,10827716,5532780,30932995,37115,5752,7655,2148,635,98,1765,.,.,.,.,1862480,.,.,.,.,4965551,1847924000,1727036,2425512,11161368,985619,3632300,38.2,6691274,5491601,0
2015,400,ARIZONA STATE,State,Mountain,1973,1,52,-0.271291545,.,.,4986637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33385,37704,740,16132,49609,142277,.,.,2986264,54,120,.,174,174,.,.,.,.,12521366,.,4031721,5420385,523724,9975830,3290079,25787275,65390,17911,10064,5730,910,84,2827,.,.,.,.,.,.,.,.,.,4343823,2025050000,904136,2064820,10042984,413562,3495835,37,4884509,12360998,59998
2015,440,AUBURN,State,East South Central,1992,1,106,-0.998158992,.,.,4501719,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19248,11495,719,11011,37500,115320,.,.,1724512,49,28,31,77,108,.,.,.,.,7428622,.,3334695,1013735,479524,4827954,1295051,13551627,22035,3877,3182,2101,519,63,1209,.,.,.,.,24668,.,.,.,.,3588166,877156995,964981,942311,6465609,20702,1369106,30.1,1329641,2100424,0
2015,500,BOSTON,Private,New England,1962,1,55,-0.300100912,.,.,3911712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16194,11731,1054,18758,35622,77578,.,.,2053554,107,88,88,195,283,.,.,.,.,11681906,.,6851414,3623281,576962,11051657,1970478,24704041,26556,6563,9314,4640,1115,139,2464,.,.,.,.,1029051,.,.,.,.,3199551,1669213953,1473441,1462576,9930938,288392,2850296,29.2,2730793,7939011,51319
2015,550,BOSTON COLLEGE,Private,New England,2000,1,63,-0.36745298,.,.,3257645,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26962,31979,662,11720,20907,149982,.,.,1960943,84,66,39,150,189,.,.,.,.,12384315,.,6367442,2804162,716342,9887946,981904,23254165,12984,1332,3458,1002,393,26,786,.,.,.,.,130000,.,.,.,.,2761146,732941628,623286,2820767,9250416,313132,3343263,36.5,966903,5755306,736604
2015,600,BRIGHAM YOUNG,Private,Mountain,1974,1,36,0.072338763,.,.,4737654,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27995,25599,2583,45642,65447,279620,.,.,2086670,108,58,218,166,384,.,.,.,.,13613157,.,8327893,2429065,3186704,13943662,3341430,30898249,24499,2664,1977,1344,84,24,1247,.,.,.,.,.,.,.,.,.,4017043,967282023,797490,2146889,11016429,449839,6394193,55.35,2258819,10894598,7360581
2015,700,BRITISH COLUMBIA,Canadian,Canada,1967,1.1739,31,0.319766733,.,.,6942179,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22115,7609,1335,32744,51640,301627,.,.,3877811,132,137,49,269,318,.,.,.,.,15440755.6,.,9079601.33,5269961.67,1211182.38,15560745.38,3875430.62,34876931.6,42948,16711,9096,1729,559,94,2784,.,.,.,.,.,.,.,.,.,5876629,.,2185326,3544883.72,11732864.81,163007.07,2821530.79,17,7115728,.,.
